,Graz-DB (LUFE),Graz-DB (LUTE),Graz-DB (NO),Graz-DB (NO2),Graz-DB (NOX),Graz-DB (PM10),Graz-DB (SO2),Graz-DB (STBK 10K),Graz-N (LUFE),Graz-N (LUTE),Graz-N (NO),Graz-N (NO2),Graz-N (NOX),Graz-N (PM10),Graz-N (SO2),Graz-N (STBK 10K),Graz-O P (LUFE),Graz-O P (LUTE),Graz-O P (NO),Graz-O P (NO2),Graz-O P (NOX),Graz-O P (PM10),Graz-O P (STBK 10K),Graz-S (LUFE),Graz-S (LUTE),Graz-S (NO),Graz-S (NO2),Graz-S (NOX),Graz-S (PM10),Graz-S (SO2),Graz-S (STBK 10K),Graz-W (LUFE),Graz-W (LUTE),Graz-W (NO),Graz-W (NO2),Graz-W (NOX),Graz-W (PM10),Graz-W (STBK 10K),Graz-W (SO2)
2010-02-12,85.37188,-1.1768374,56.141975,72.49149,82.92554,63.239994,8.003703,44.57282,78.22167,-1.2086122,4.122404,27.665318,17.776257,36.77001,4.592978,33.518875,,,15.358028,49.762978,38.342274,,36.425,88.708534,-1.1348292,21.140146,57.1115,46.823826,43.030018,5.90998,44.943134,83.37104,-0.8982725,7.486086,44.13043,29.082554,32.989193,32.989193,6.130703
2010-02-13,83.16688,-0.65910965,59.81156,72.15639,85.69192,64.51,6.5272546,75.22671,78.14334,-0.4345915,19.123106,46.710007,39.766113,60.43996,4.036085,58.574753,,,17.48685,57.056812,43.86489,,67.180885,85.99707,-0.58816606,17.227825,53.00618,41.538303,65.17999,4.180596,68.25637,82.18228,-0.3663732,21.1943,55.118298,45.824463,60.37067,60.37067,5.3485746
2010-02-14,57.66457,1.0120436,30.614508,51.58575,51.526485,64.439964,7.8717437,56.29216,61.284176,0.7980297,2.8864467,22.80298,14.245128,44.020008,4.420082,48.862667,,,9.287244,35.69979,26.117296,,50.345585,62.667908,0.7775189,5.483696,35.667873,23.05168,47.489994,5.349277,53.571568,58.461456,1.1583037,4.202213,30.525953,19.333042,42.983875,42.983875,5.982447
2010-02-15,79.85023,-2.0708897,24.584345,63.05212,52.69404,78.52001,6.266595,79.78921,73.90147,-1.8971144,3.0602136,28.2583,17.234045,53.069992,2.8953876,53.789936,,,3.436832,35.938725,21.551065,,62.38947,81.473946,-2.2709286,10.182221,49.394894,33.99979,69.10003,3.238233,72.308815,79.13271,-1.826217,6.852553,46.313404,29.717657,56.825073,56.825073,4.425511
2010-02-16,81.57897,-1.1751803,35.13813,70.32957,64.96001,72.87005,5.8336606,74.556366,77.15625,-0.9377697,5.334957,38.070427,24.189362,55.969982,2.6576235,52.000538,,,10.870926,47.556595,33.589996,,62.621826,80.39062,-1.161297,11.469876,51.680435,36.227226,60.379963,3.3415313,63.01445,79.66293,-0.9407153,4.9469576,44.941277,27.469358,54.219143,54.219143,4.516174
2010-02-17,83.42498,-2.6142344,75.90821,90.7234,108.3219,98.25,6.5316176,89.411766,79.80501,-2.4233968,27.96551,61.18043,54.421066,66.62004,2.2300978,62.8374,,,25.251875,62.26765,52.814037,,72.3799,84.79084,-2.9363077,49.141315,73.36915,77.78511,80.74,3.1605105,85.54019,81.16458,-2.1270802,29.691874,68.00298,59.377026,65.41294,65.41294,4.0797663
2010-02-18,82.38209,0.14369653,68.20745,106.63127,110.458725,126.5,7.070674,120.18285,77.835205,0.37267193,16.381342,66.19,47.755116,87.129944,2.9880702,79.44084,,,16.558441,75.319984,52.675526,,101.66421,82.46499,-0.033699915,40.07244,83.224464,75.65254,106.09,3.8157024,109.762505,80.2875,0.6126394,29.649677,86.720215,69.13544,91.31623,91.31623,5.183041
2010-02-19,83.28708,1.9841832,82.36821,109.45108,123.29871,123.200035,7.5627446,136.42844,80.86396,2.0005062,30.82713,73.906166,63.373188,110.56998,2.7911558,99.18945,,,34.54372,93.88319,76.80852,,130.20882,84.76603,1.7443968,66.63692,89.71915,100.35915,131.54996,4.439891,138.40858,82.590004,2.2699997,41.14944,90.84022,80.505104,113.177284,113.177284,5.324063
2010-02-20,92.82043,1.6636523,158.85342,112.83192,186.39851,65.12996,7.0326805,118.715935,90.41396,2.0814297,72.68474,69.67382,94.72701,80.29002,2.646822,62.32011,,,57.71697,80.546745,88.40999,,88.83906,97.13146,1.3213229,108.22702,88.379776,133.00896,99.07,4.2684674,106.618645,93.36707,2.0732436,82.56935,84.97361,110.65745,87.70147,87.70147,5.243064
2010-02-21,53.211246,4.5078745,34.377056,42.266384,49.671272,27.829994,4.0380425,19.464128,53.721878,4.655063,2.5841699,14.826955,9.829639,9.760995,0.83932626,5.711911,,,15.976874,33.17638,30.163086,,22.678545,59.158142,4.239519,16.68442,26.07404,27.014864,22.580002,2.2812808,23.397223,53.1898,4.8203125,10.223341,25.695744,21.638847,13.258845,13.258845,2.5877662
2010-02-22,66.20646,1.5586435,42.035645,64.90766,67.65383,43.660007,4.7139573,35.392254,65.57479,1.3707322,5.5299783,33.303455,21.851545,19.66301,1.4507055,18.836191,,,13.993021,49.128304,36.91728,,38.155994,69.62875,1.0627853,23.546501,49.167656,44.596306,33.010006,1.7943726,34.132626,65.99395,1.8019137,8.279382,45.12,30.237663,22.779268,22.779268,2.8668294
