"Name";"Time";"Q@KFZ";
"8041_218_Nord";"11.01.2018 00:00:00";-1;0
"8041_218_Süd";"11.01.2018 00:00:00";-1;0
"8041_221_Ost";"11.01.2018 00:00:00";710;4167
"8041_221_West";"11.01.2018 00:00:00";717;875
"8045_203";"11.01.2018 00:00:00";974;4583
"8045_203_Nord";"11.01.2018 00:00:00";497;54166
"8045_203_Süd";"11.01.2018 00:00:00";476;91666
"8051_101";"11.01.2018 00:00:00";1405;4584
"8051_101_Nord";"11.01.2018 00:00:00";647;5833
"8051_101_Süd";"11.01.2018 00:00:00";757;875
"8055_108_Nord_bis20210121";"11.01.2018 00:00:00";422;54166
"8055_108_Süd_bis20210121";"11.01.2018 00:00:00";452;25
"8010_205";"12.01.2018 00:00:00";955;833
"8010_209";"12.01.2018 00:00:00";761;833
"8010_214";"12.01.2018 00:00:00";855;5
"8010_202_Nord";"12.01.2018 00:00:00";0;0
"8010_205_Ost";"12.01.2018 00:00:00";457;125
"8010_205_West";"12.01.2018 00:00:00";497;95834
"8010_209_Ost";"12.01.2018 00:00:00";382;0
"8010_209_West";"12.01.2018 00:00:00";379;8334
"8010_213_Ost";"12.01.2018 00:00:00";721;1667
"8010_214_Nord";"12.01.2018 00:00:00";393;875
"8010_214_Süd";"12.01.2018 00:00:00";461;625
"8020_102";"12.01.2018 00:00:00";1442;1255
"8020_103";"12.01.2018 00:00:00";1636;787
"8020_107";"12.01.2018 00:00:00";1054;3347
"8020_102_Nord";"12.01.2018 00:00:00";718;3759
"8020_102_Süd";"12.01.2018 00:00:00";723;7495
"8020_103_Nord";"12.01.2018 00:00:00";827;28845
"8020_103_Süd";"12.01.2018 00:00:00";808;7903
"8020_107_Nord";"12.01.2018 00:00:00";577;7088
"8020_107_Süd";"12.01.2018 00:00:00";476;62592
"8041_218";"12.01.2018 00:00:00";521;9167
"8041_221";"12.01.2018 00:00:00";1424;7916
"8041_218_Nord";"12.01.2018 00:00:00";-1;0
"8041_218_Süd";"12.01.2018 00:00:00";-1;0
"8041_221_Ost";"12.01.2018 00:00:00";698;9167
"8041_221_West";"12.01.2018 00:00:00";725;875
"8045_203";"12.01.2018 00:00:00";988;875
"8045_203_Nord";"12.01.2018 00:00:00";506;83334
"8045_203_Süd";"12.01.2018 00:00:00";482;4166
"8051_101";"12.01.2018 00:00:00";1392;8334
"8051_101_Nord";"12.01.2018 00:00:00";631;4167
"8051_101_Süd";"12.01.2018 00:00:00";761;4167
"8055_108_Nord_bis20210121";"12.01.2018 00:00:00";425;0
"8055_108_Süd_bis20210121";"12.01.2018 00:00:00";464;54166
"8010_205";"13.01.2018 00:00:00";971;2083
"8010_209";"13.01.2018 00:00:00";753;625
"8010_214";"13.01.2018 00:00:00";906;625
"8010_202_Nord";"13.01.2018 00:00:00";0;0
"8010_205_Ost";"13.01.2018 00:00:00";468;29166
"8010_205_West";"13.01.2018 00:00:00";502;91666
"8010_209_Ost";"13.01.2018 00:00:00";368;75
"8010_209_West";"13.01.2018 00:00:00";384;875
"8010_213_Ost";"13.01.2018 00:00:00";749;833
"8010_214_Nord";"13.01.2018 00:00:00";408;79166
"8010_214_Süd";"13.01.2018 00:00:00";497;83334
"8020_102";"13.01.2018 00:00:00";1544;2069
"8020_103";"13.01.2018 00:00:00";1736;3737
"8020_107";"13.01.2018 00:00:00";1114;398
"8020_102_Nord";"13.01.2018 00:00:00";785;7903
"8020_102_Süd";"13.01.2018 00:00:00";758;4167
"8020_103_Nord";"13.01.2018 00:00:00";886;2912
"8020_103_Süd";"13.01.2018 00:00:00";850;824
"8020_107_Nord";"13.01.2018 00:00:00";613;2903
