time,Cloud_Cover_Mean,Dew_Point_Temperature_2m_Mean,Temperature_Air_2m_Mean_24h,Vapour_Pressure_Mean,Wind_Speed_10m_Mean
12/3/19,0.5777015,272.71524,274.05893,6.0198298,1.1679053
12/4/19,0.437837,270.31754,272.82565,5.0805545,1.5595049
12/5/19,0.7629424,270.3859,272.87418,5.1065164,1.010884
12/6/19,0.75125486,272.2606,273.41074,5.8372355,1.2259138
12/7/19,0.91863817,273.6985,274.3054,6.45861,1.028947
12/8/19,0.593655,273.93063,274.81296,6.5517898,2.2649124
12/9/19,0.86659586,278.7566,279.87585,9.051908,2.2942936
12/10/19,0.40251893,272.54468,276.83435,6.0350804,3.0488422
12/11/19,0.2801685,269.8149,273.05762,4.9155264,1.5479753
12/12/19,0.9100872,272.15442,273.33823,5.7778363,0.91939354
12/13/19,0.91968375,273.77164,275.23868,6.467443,2.970273
12/14/19,0.2586289,274.66617,276.15268,6.890008,2.0964553
12/15/19,0.48444587,276.23187,277.99484,7.7101912,2.0865989
12/16/19,0.91815746,280.5127,283.69604,10.109553,3.3029454
12/17/19,0.65859824,281.65225,285.9543,10.850212,3.3806431
12/18/19,0.7285133,280.9575,284.0347,10.376788,2.2532654
12/19/19,0.8546489,280.33246,281.83936,9.971931,1.4775423
12/20/19,0.6993118,280.44742,283.81717,10.055171,3.4499462
12/21/19,0.69799155,282.10904,284.6248,11.173568,3.7728796
12/22/19,0.9479199,279.20883,280.26804,9.268719,3.2242587
12/23/19,0.7967457,276.86444,279.19946,8.00141,1.9188259
12/24/19,0.4029616,274.69937,276.78662,6.9116764,1.3211578
12/25/19,0.42220417,274.38153,277.0961,6.7738614,1.4584666
12/26/19,0.5151317,273.92294,276.43372,6.550298,1.1052799
12/27/19,0.64253795,273.4519,275.34607,6.335325,1.3308735
12/28/19,0.28706732,267.9579,274.62073,4.369819,3.9891837
12/29/19,0.37111956,266.773,272.84616,3.985858,3.4888787
12/30/19,0.019746989,267.68704,270.92654,4.2579656,1.2432257
12/31/19,0.2806569,268.34055,272.00998,4.4594765,1.409939
